provinceId,provinceTh,provinceEn,provinceDescTh
21,นครราชสีมา,Nakhon Ratchasima,เมืองหญิงกล้า ผ้าไหมดี หมี่โคราช ปราสาทหิน ดินด่านเกวียน
22,นครศรีธรรมราช,Nakhon Si Thammarat,เราชาวนคร อยู่เมืองพระ มั่นอยู่ในสัจจะ ศีลธรรม กอรปกรรมดี  มีมานะพากเพียร ไม่เบียดเบียน ทำอันตรายผู้ใด
23,นครสวรรค์,Nakhon Sawan,เมืองสี่แคว แห่มังกร พักผ่อนบึงบอระเพ็ด ปลารสเด็ดปากน้ำโพ
24,นนทบุรี,Nonthaburi,พระตำหนักสง่างาม ลือนามสวนสมเด็จ เกาะเกร็ดแหล่งดินเผา วัดเก่านามละบือ เลื่องลือทุเรียนนท์ งามน่ายลศูนย์ราชการ
25,นราธิวาส,Narathiwat,ทักษิณราชตำหนัก ชนรักศาสนา นราทัศน์เพลินตา ปาโจตรึงใจ แหล่งใหญ่แร่ทอง ลองกองหอมหวาน
26,น่าน,Nan,แข่งเรือลือเลื่อง  เมืองงาช้างดำ  จิตรกรรมวัดภูมินทร์  แดนดินส้มสีทอง  เรืองรองพระธาตุแช่แห้ง
27,บึงกาฬ,Bueng Kan,ภูทอกแหล่งพระธรรม ค่าล้ำยางพารา งามตาแก่งอาฮง บึงโขงหลงเพลินใจ น้ำตกใสเจ็ดสี ประเพณีแข่งเรือ เหนือสุดแดนอีสาน นมัสการองค์พระใหญ่
28,บุรีรัมย์,Buri Ram,เมืองปราสาทหิน ถิ่นภูเขาไฟ ผ้าไหมสวย รวยวัฒนธรรม
29,ปทุมธานี,Pathum Thani,ถิ่นบัวหลวง เมืองรวงข้าว เชื้อชาวมอญ นครธรรมะ พระตำหนักรวมใจ สดใสเจ้าพระยา ก้าวหน้าอุตสาหกรรม
30,ประจวบคีรีขันธ์,Prachuap Khiri Khan,เมืองทองเนื้อเก้า มะพร้าวสัปปะรด สวยสดหาดเขาถ้ำ งามล้ำน้ำใจ
31,ปราจีนบุรี,Prachin Buri,ศรีมหาโพธิ์คู่บ้าน ไผ่ตงหวานคู่เมือง ผลไม้ลือเลื่อง เขตเมืองทวารวดี
32,ปัตตานี,Pattani,เมืองงามสามวัฒนธรรม  ศูนย์ฮาลาลเลิศล้ำ  ชนน้อมนำศรัทธา  ถิ่นธรรมชาติงามตา  ปัตตานีสันติสุขแดนใต้
33,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,ราชธานีเก่า อู่ข้าวอู่น้ำ เลิศล้ำกานท์กวี คนดีศรีอยุธยา
34,พะเยา,Phayao,กว๊านพะเยาแหล่งชีวิต ศักดิ์สิทธิ์พระเจ้าตนหลวง บวงสรวงพ่อขุนงำเมือง งามลือเลื่องดอยบุษราคัม
35,พังงา,Phang-nga,แร่หมื่นล้าน บ้านกลางน้ำ ถ้ำงามตา ภูผาแปลก แมกไม้จำปูน บริบูรณ์ทรัพยากร
36,พัทลุง,Phatthalung,เมืองหนังโนรา อู่นาข้าว พราวน้ำตก แหล่งนกน้ำ ทะเลสาบงาม เขาอกทะลุ น้ำพุร้อน
37,พิจิตร,Phichit,ถิ่นประสูติพระเจ้าสือ แข่งเรือยาวประเพณี พระเครื่องดีหลวงพ่อเงิน เพลิดเพลินบึงสีไฟ ศูนย์รวมใจหลวงพ่อเพชร รสเด็ดส้มท่าข่อย ข้าวจ้าวอร่อยลือเรื่อง ตำนานเมืองชาละวัน
38,พิษณุโลก,Phitsanulok,พระพุทธชินราชงามเลิศ ถิ่นกำเนิดพระนเรศวร สองฝั่งน่านล้วนเรือนแพ หวานฉ่ำแท้กล้วยตาก ถ้ำและน้ำตกหลากตระการตา
39,เพชรบุรี,Phetchaburi,เขาวังคู่บ้าน ขนมหวาน เมืองพระ เลิศล้ำศิลปะ แดนธรรมะ ทะเลงาม
40,เพชรบูรณ์,Phetchabun,เมืองมะขามหวาน อุทยานน้ำหนาว ศรีเทพเมืองเก่า เขาค้ออนุสรณ์ นครพ่อขุนผาเมือง
41,แพร่,Phrae,หม้อห้อมไม้สัก ถิ่นรักพระลอ ช่อแฮศรีเมือง ลือเลื่องแพะเมืองผี คนแพร่นี้ใจงาม
42,ภูเก็ต,Phuket,ไข่มุกอันดามัน สวรรค์เมืองใต้ หาดทรายสีทอง สองวีรสตรี บารมีหลวงพ่อแช่ม
43,มหาสารคาม,Maha Sarakham,พุทธมณฑลอีสาน ถิ่นฐานอารยธรรม ผ้าไหมล้ำเลอค่า ตักศิลานคร
44,มุกดาหาร,Mukdahan,หอแก้วสูงเสียดฟ้า ภูผาเทิบ แก่งกะเบา แปดเผ่าชนพื้นเมือง ลือเลื่องมะขามหวาน กลองโบราณล้ำเลิศ ถิ่นกำเนิดลำผญา ตระการตาชายโขง เชื่อมโยงอินโดจีน
45,แม่ฮ่องสอน,Mae Hong Son,หมอกสามฤดู กองมูเสียดฟ้า ป่าเขียวขจี ผู้คนดี ประเพณีงาม ลือนามถิ่นบัวตอง
46,ยโสธร,Yasothon,เมืองบั้งไฟโก้ แตงโมหวาน หมอนขวานผ้าขิด แหล่งผลิตข้าวหอมมะลิ
47,ยะลา,Yala,ยะลา ใต้สุดสยาม เมืองงามชายแดน
48,ร้อยเอ็ด,Roi Et,สิบเอ็ดประตูเมืองงาม เรืองนามพระสูงใหญ่ ผ้าไหมสาเกตุ บุญผะเหวดประเพณี มหาเจดีย์ชัยมงคล งามหน้ายลบึงพลาญชัย เขตกว้างไกลทุ่งกุลา โลกลือชาข้าวหอมมะลิ
49,ระนอง,Ranong,คอคอดกระ ภูเขาหญ้า กาหยูหวาน ธารน้ำแร่ มุกแท้เมืองระนอง
50,ระยอง,Rayong,ผลไม้รสล้ำ อุตสาหกรรมก้าวหน้า น้ำปลารสเด็ด เกาะเสม็ดสวยหรู สุนทรภู่กวีเอก
51,ราชบุรี,Ratchaburi,คนสวยโพธาราม คนงามบ้านโป่ง เมืองโอ่งมังกร วัดขนอนหนังใหญ่ ตื่นใจถ้ำงาม ตลาดน้ำดำเนิน เพลินค้างคาวร้อยล้าน ย่านยี่สกปลาดี
52,ลพบุรี,Lopburi,วังนารายณ์คู่บ้าน ศาลพระกาฬคู่เมือง ปรางค์สามยอดลือเลื่อง เมืองแห่งดินสอพอง แผ่นดินทองสมเด็จพระนารายณ์
53,ลำปาง,Lampang,ถ่านหินลือชา รถม้าลือลั่น เครื่องปั้นลือนาม งามพระธาตุลือไกล ฝึกช้างใช้ลือโลก
54,ลำพูน,Lamphun,พระธาตุเด่น พระรอดขลัง ลำไยดัง กระเทียมดี ประเพณีงาม จามเทวี ศรีหริภุญชัย
55,เลย,Loei,เมืองแห่งทะเลภูเขา สุดหนาวในสยาม ดอกไม้งามสามฤดู
56,ศรีสะเกษ,Si Sa Ket,หลวงพ่อโตคู่บ้าน ถิ่นฐานปราสาทขอม ข้าว หอม กระเทียมดี มีสวนสมเด็จ เขตดงลำดวน หลากล้วนวัฒนธรรม เลิศล้ำสามัคคี
57,สกลนคร,Sakon Nakhon,พระธาตุเชิงชุมคู่บ้าน พระตำหนักภูพานคู่เมือง งามลือเลื่องหนองหาร แลตระการปราสาทผึ้ง สวยสุดซึ้งสาวกูไท ถิ่นมั่นในพุทธธรรม
58,สงขลา,Songkhla,นกน้ำเพลินตา สมิหลาเพลินใจ เมืองใหญ่สองทะเล เสน่ห์สะพานป๋า ศูนย์การค้าแดนใต้
59,สตูล,Satun,สตูล สงบ สะอาด ธรรมชาติบริสุทธิ์
60,สมุทรปราการ,Samut Prakan,ป้อมยุทธนาวี พระเจดีย์กลางน้ำ ฟาร์มจระเข้ใหญ่ งามวิไลเมืองโบราณ สงกรานต์พระประแดง ปลาสลิดแห้งรสดี ประเพณีรับบัว ครบถ้วนทั่วอุตสาหกรรม
61,สมุทรสงคราม,Samut Songkhram,เมืองหอยหลอด ยอดลิ้นจี่ มีอุทยาน ร.2 แม่กลองไหลผ่าน นมัสการหลวงพ่อบ้านแหลม
62,สมุทรสาคร,Samut Sakhon,เมืองประมง ดงโรงงาน ลานเกษตร เขตประวัติศาตร์
63,สระแก้ว,Sa Kaeo,ชายแดนเบื้องบูรพา ป่างาม น้ำตกสวย มากด้วยรอยอารยธรรมโบราณ ย่านการค้าไทย - เขมร
64,สระบุรี,Saraburi,พระพุทธบาทสูงค่า เขื่อนป่าสักชลสิทธิ์ ฐานผลิตอุตสาหกรรม เกษตรนำล้ำแหล่งท่องเที่ยว หนึ่งเดียวกะหรี่ปั๊บนมดี ประเพณีตักบาตรดอกไม้งาม เหลืองอร่ามทุ่งทานตะวัน ลือลั่นเมืองชุมทาง
65,สิงห์บุรี,Sing Buri,ถิ่นวีรชนคนกล้า คู่หล้าพระนอน นามกระฉ่อนช่อนแม่ลา เทศกาลกินปลาประจำปี
66,สุโขทัย,Sukhothai,มรดกล้ำเลิศ กำเนิดลายสือไทย เล่นไฟลอยกระทง มั่นคงพระพุทธศาสนา งามตาผ้าตีนจก สังคโลกทองโบราณ สักการแม่ย่าพ่อขุน รุ่งอรุณแห่งความสุข
67,สุพรรณบุรี,Suphan Buri,เมืองยุทธหัตถี วรรณคดีขึ้นชื่อ เลื่องลือพระเครื่อง รุ่งเรืองเกษตรกรรม สูงล้ำประวัติศาสตร์ แหล่งปราชญ์ศิลปิน ภาษาถิ่นชวนฟัง
68,สุราษฎร์ธานี,Surat Thani,เมืองร้อยเกาะ เงาะอร่อย หอยใหญ่ ไข่แดง แหล่งธรรมะ
69,สุรินทร์,Surin,สุรินทร์ถิ่นช้างใหญ่ ผ้าไหมงาม ประคำสวย ร่ำรวยปราสาท ผักกาดหวาน ข้าวสารหอม งามพร้อมวัฒนธรรม
70,หนองคาย,Nong Khai,วีรกรรมปราบฮ่อ หลวงพ่อพระใส สะพานไทย-ลาว
71,หนองบัวลำภู,Nong Bua Lam Phu,ศาลสมเด็จพระนเรศวรมหาราช อุทยานแห่งชาติภูเก้า-ภูพานคำ แผ่นดินธรรมหลวงปู่ขาว เด่นสกาวถ้ำเอราวัณ นครเขื่อนขันธ์กาบแก้วบัวบาน
72,อ่างทอง,Ang Thong,พระสมเด็จเกษไชไย หลวงพ่อโตองค์ใหญ่ วีรไทยใจกล้า ตุ๊กตาชาววัง โด่งดังจักสาน ถิ่นฐานทำกลอง เมืองสองพระนอน
73,อำนาจเจริญ,Amnat Charoen,พระมงคลมิ่งเมือง แหล่งรุ่งเรืองเจ็ดลุ่มน้ำ งามล้ำถ้ำศักดิ์สิทธิ์ เทพนิมิตพระเหลา เกาะแก่งเขาแสนสวย เลอค่าด้วยผ้าไหม ราษฎร์เลื่อมใสใฝ่ธรรม
74,อุดรธานี,Udon Thani,"น้ำตกจากสันภูพาน อุทยานแห่งธรรมะ อารยธรรม 5,000 ปี ธานีผ้าหมี่ขิด แดนเนรมิตหนองประจักษ์ เลิศลักษณ์กล้วยไม้หอมอุดรชันไฌน์"
75,อุตรดิตถ์,Uttaradit,เหล็กน้ำพี้ลือเลื่อง เมืองลางสาดหวาน บ้านพระยาพิชัยดาบหัก ถิ่นสักใหญ่ของโลก
76,อุทัยธานี,Uthai Thani,อุทัยธานี เมืองพระชนกจักรี ปลาแรดรสดี ประเพณีเทโว ส้มโอบ้านน้ำตก มรดกโลกห้วยขาแข้ง แหล่งต้นน้ำสะแกกรัง ตลาดนัดดังโคกระบือ
77,อุบลราชธานี,Ubon Ratchathani,"น้ำตกจากสันภูพาน อุทยานแห่งธรรมะ อารยธรรม 5,000 ปี ธานีผ้าหมี่ขิด แดนเนรมิตหนองประจักษ์ เลิศลักษณ์กล้วยไม้หอมอุดรชันไฌน์"
